video_id,frame_number,timestamp_sec,object_id,object_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,action,occluded,annotator_notes
video_01_bouncing_ball,0,0.0,ball_1,ball,31,29,61,59,entering_frame,False,
video_01_bouncing_ball,3,0.25,ball_1,ball,49,41,79,71,moving_right,False,
video_01_bouncing_ball,6,0.5,ball_1,ball,67,53,97,83,moving_right,False,
video_01_bouncing_ball,9,0.75,ball_1,ball,85,65,115,95,moving_right,False,
video_01_bouncing_ball,12,1.0,ball_1,ball,103,77,133,107,moving_right,False,
video_01_bouncing_ball,15,1.25,ball_1,ball,121,89,151,119,moving_right,False,
video_01_bouncing_ball,18,1.5,ball_1,ball,139,101,169,131,moving_right,False,
video_01_bouncing_ball,21,1.75,ball_1,ball,157,113,187,143,moving_right,False,
video_01_bouncing_ball,24,2.0,ball_1,ball,175,125,205,155,moving_right,False,
video_01_bouncing_ball,27,2.25,ball_1,ball,193,137,223,167,moving_right,False,
video_01_bouncing_ball,30,2.5,ball_1,ball,211,149,241,179,moving_right,False,
video_01_bouncing_ball,33,2.75,ball_1,ball,229,161,259,191,moving_right,False,
video_01_bouncing_ball,36,3.0,ball_1,ball,247,173,277,203,moving_right,False,
video_01_bouncing_ball,39,3.25,ball_1,ball,265,185,295,215,moving_right,False,
video_01_bouncing_ball,42,3.5,ball_1,ball,283,197,313,227,moving_right,False,
video_01_bouncing_ball,45,3.75,ball_1,ball,301,209,331,239,moving_right,False,
video_01_bouncing_ball,48,4.0,ball_1,ball,319,221,349,251,moving_right,False,
video_01_bouncing_ball,51,4.25,ball_1,ball,337,233,367,263,moving_right,False,
video_01_bouncing_ball,54,4.5,ball_1,ball,355,245,385,275,moving_right,False,
video_01_bouncing_ball,57,4.75,ball_1,ball,373,257,403,287,moving_right,False,
video_01_bouncing_ball,60,5.0,ball_1,ball,391,269,421,299,moving_right,False,
video_01_bouncing_ball,63,5.25,ball_1,ball,409,281,439,311,moving_right,False,
video_01_bouncing_ball,66,5.5,ball_1,ball,427,293,457,323,moving_right,False,
video_01_bouncing_ball,69,5.75,ball_1,ball,445,305,475,335,moving_right,False,
video_01_bouncing_ball,72,6.0,ball_1,ball,463,317,493,347,moving_right,False,
video_01_bouncing_ball,75,6.25,ball_1,ball,481,329,511,359,moving_right,False,
video_01_bouncing_ball,78,6.5,ball_1,ball,499,322,529,352,moving_right,False,
